id,x,y,y_err
0,  -1.01266,  29.44923,   2.31657
1,  -0.13247,   8.67051,   1.96029
2,   0.84377,  12.16007,   1.10891
3,   0.84978,   9.85654,   2.27881
4,   1.18847,  12.67436,   2.58660
5,   1.57313,  13.04528,   2.12245
6,   1.81180,  14.57971,   1.14683
7,   2.44046,  13.24942,   1.65337
8,   3.06604,  14.50270,   1.06707
9,   3.43889,  16.68275,   3.04912
10,   4.20155,  44.44839,   2.67099
11,   5.60565,  25.06701,   1.78614
12,   5.63047,  24.26159,   3.11418
13,   5.74166,  22.24396,   1.33617
14,   7.53866,  32.60041,   2.26018
15,   7.65400,  35.83346,   2.52321
16,   7.89479,  38.95057,   2.39802
17,   8.26173,  37.06572,   2.58796
18,   8.69452,  44.57361,   3.10867
19,   8.77010,  41.51659,   2.07742
20,   9.23694,  24.56360,   1.27728
21,   9.80298,  50.73965,   1.68802
22,   9.88430,  49.44591,   3.44079
